#{"t_start": 1748019731.112538, "env_id": "None"}
r,l,t
-91.953006,20,55.264499
-90.495926,20,55.29138
-94.080719,19,55.320312
-88.327246,20,55.351723
-91.407141,20,55.38189
-91.634975,20,55.406938
-87.763071,20,55.432676
-92.520014,20,55.464425
-87.813034,20,55.49142
-89.972283,20,55.516145
-87.964767,20,55.539207
-89.073856,20,55.564363
-87.755226,20,55.590714
-87.154845,20,55.616712
-88.465373,20,55.644387
-92.647622,20,55.676671
-94.054955,19,55.70321
-87.123287,20,55.730181
-94.044214,19,58.639421
-87.427964,20,58.668858
-88.102566,20,58.694994
-90.617888,20,58.727255
-87.313133,20,58.757744
-94.140145,19,58.786008
-90.735699,20,58.823197
-88.163312,20,58.857682
-92.84269,20,58.891136
-87.215394,20,58.921443
-87.924574,20,58.950945
-93.096158,20,58.979651
-88.175169,20,59.008714
-90.125383,20,59.036554
-92.267313,20,59.073264
-90.842881,20,59.102049
-87.669857,20,59.132934
-91.896664,20,59.164246
-90.42848,20,59.197596
-87.407838,20,59.228892
-93.993523,19,59.254657
-93.01629,20,59.284987
-93.844838,19,59.31023
-88.595808,20,59.352844
-87.307501,20,59.387654
-94.139009,19,59.413482
-93.135301,20,59.442677
-92.634815,20,59.472389
-94.005315,19,59.49883
-89.627367,20,59.525629
-87.695984,20,59.550991
-91.490611,20,59.578352
-92.316112,20,59.604362
-94.100192,19,59.63444
-87.191789,20,59.664555
-92.321743,20,59.691933
-93.082243,20,59.718517
-89.175353,20,59.745405
-90.834125,20,59.771269
-87.704591,20,59.798474
-87.347095,20,59.826072
-94.06958,19,59.86145
-93.159693,20,59.895658
-88.504177,20,59.924668
-91.884141,20,60.014543
-90.000863,20,60.048396
-94.012197,19,60.087369
-89.907006,20,60.126223
-91.472166,20,60.160386
-92.393802,20,60.198625
-93.906242,19,60.241847
-91.662582,20,60.277558
-92.037795,20,60.314564
-93.216975,20,60.359344
-88.298762,20,60.395301
-92.722048,20,60.449055
-88.594926,20,60.485451
-91.542722,20,60.526685
-93.990714,19,60.563715
-87.690486,20,60.603014
-90.062996,20,60.648046
-88.134467,20,60.703925
-94.087403,19,60.749217
-91.234263,20,60.792411
-87.437344,20,60.826905
-92.235205,20,60.870857
-90.407772,20,60.915923
-91.115459,20,60.964947
-92.623665,20,61.007748
-87.415368,20,61.04531
-89.846803,20,61.083185
-93.059152,20,61.120476
-87.413602,20,61.155041
-91.988333,20,61.194785
-91.211302,20,61.230697
-87.743497,20,61.268821
-88.348284,20,61.308602
-90.355967,20,61.388783
-92.919935,20,61.421839
-94.008328,19,61.46089
-93.975954,19,61.508997
-87.346362,20,61.54788
-87.227456,20,61.585916
-87.174553,20,61.625259
-93.254916,20,61.664436
-87.329014,20,61.699354
-87.24978,20,61.734961
-88.561097,20,61.770999
-87.87612,20,61.810157
-93.934404,19,61.851102
-89.718378,20,61.895833
-94.061423,19,61.932891
-91.667872,20,61.966905
-91.462471,20,62.013171
-88.722094,20,62.051442
-87.233758,20,62.094458
-89.320138,20,62.132864
-87.505493,20,62.173338
-90.785642,20,62.210926
-87.676366,20,62.249967
-89.688133,20,62.292713
-93.982641,19,62.333107
-92.073345,20,62.37886
-93.990754,19,65.481039
-91.567851,20,65.505994
-90.539306,20,65.534989
-91.256259,20,65.563262
-88.887498,20,65.590513
-89.257066,20,65.617915
-92.250679,20,65.646333
-87.284226,20,65.676299
-88.165179,20,65.706597
-90.633644,20,65.739014
-89.122232,20,65.776526
-93.368088,20,65.806699
-94.015325,19,65.835605
-88.981254,20,65.868241
-92.933288,20,65.894803
-90.009026,20,65.926749
-87.42653,20,65.960573
-87.486368,20,65.99216
-88.324728,20,66.021384
-92.146322,20,66.048055
-87.193056,20,66.084337
-90.538327,20,66.110911
-89.144973,20,66.134938
-89.627284,20,66.166456
-91.763841,20,66.191004
-94.061787,19,66.2198
-90.371113,20,66.245665
-90.517498,20,66.274397
-94.043264,19,66.298712
-89.006137,20,66.3272
-88.458794,20,66.364512
-88.997585,20,66.394883
